    Q[1,1]     Q[1,2]     Q[1,3]     Q[1,4]     Q[1,5]     Q[1,6]     Q[1,7] 
 1.0003858  1.0001743  0.9998195  0.9997512  0.9997676  1.0003584  1.0000102 
    Q[2,1]     Q[2,2]     Q[2,3]     Q[2,4]     Q[2,5]     Q[2,6]     Q[2,7] 
 1.0001743  1.0005406  1.0005715  1.0005441  0.9998227  0.9999683  0.9998512 
    Q[3,1]     Q[3,2]     Q[3,3]     Q[3,4]     Q[3,5]     Q[3,6]     Q[3,7] 
 0.9998195  1.0005715  1.0003062  1.0006060  1.0002603  1.0003977  1.0009849 
    Q[4,1]     Q[4,2]     Q[4,3]     Q[4,4]     Q[4,5]     Q[4,6]     Q[4,7] 
 0.9997512  1.0005441  1.0006060  1.0006365  1.0014094  0.9998801  1.0007501 
    Q[5,1]     Q[5,2]     Q[5,3]     Q[5,4]     Q[5,5]     Q[5,6]     Q[5,7] 
 0.9997676  0.9998227  1.0002603  1.0014094  0.9999110  1.0000070  1.0002122 
    Q[6,1]     Q[6,2]     Q[6,3]     Q[6,4]     Q[6,5]     Q[6,6]     Q[6,7] 
 1.0003584  0.9999683  1.0003977  0.9998801  1.0000070  1.0003446  1.0005003 
    Q[7,1]     Q[7,2]     Q[7,3]     Q[7,4]     Q[7,5]     Q[7,6]     Q[7,7] 
 1.0000102  0.9998512  1.0009849  1.0007501  1.0002122  1.0005003  1.0007653 
  delta[1]   delta[2]   delta[3]   delta[4]   delta[5]   delta[6]   delta[7] 
 0.9999231  1.0001105  0.9996230  1.0004858  0.9999922  1.0004807  1.0002531 
     mu[1]      mu[2]      mu[3]      mu[4]      mu[5]      mu[6]      mu[7] 
 0.9998152  0.9999500  1.0003290  1.0000742  0.9997501  0.9999483  1.0002786 
SIGMA[1,1] SIGMA[1,2] SIGMA[1,3] SIGMA[1,4] SIGMA[1,5] SIGMA[1,6] SIGMA[1,7] 
 1.0005919  1.0001280  1.0005297  1.0000483  0.9999393  0.9997072  1.0004610 
SIGMA[2,1] SIGMA[2,2] SIGMA[2,3] SIGMA[2,4] SIGMA[2,5] SIGMA[2,6] SIGMA[2,7] 
 1.0001280  0.9997675  1.0001248  1.0000793  0.9996095  1.0001564  1.0003133 
SIGMA[3,1] SIGMA[3,2] SIGMA[3,3] SIGMA[3,4] SIGMA[3,5] SIGMA[3,6] SIGMA[3,7] 
 1.0005297  1.0001248  0.9998009  0.9999395  1.0000738  1.0003518  1.0004395 
SIGMA[4,1] SIGMA[4,2] SIGMA[4,3] SIGMA[4,4] SIGMA[4,5] SIGMA[4,6] SIGMA[4,7] 
 1.0000483  1.0000793  0.9999395  0.9999222  0.9999660  0.9999847  0.9999113 
SIGMA[5,1] SIGMA[5,2] SIGMA[5,3] SIGMA[5,4] SIGMA[5,5] SIGMA[5,6] SIGMA[5,7] 
 0.9999393  0.9996095  1.0000738  0.9999660  1.0005304  1.0000917  1.0000578 
SIGMA[6,1] SIGMA[6,2] SIGMA[6,3] SIGMA[6,4] SIGMA[6,5] SIGMA[6,6] SIGMA[6,7] 
 0.9997072  1.0001564  1.0003518  0.9999847  1.0000917  1.0006511  1.0004701 
SIGMA[7,1] SIGMA[7,2] SIGMA[7,3] SIGMA[7,4] SIGMA[7,5] SIGMA[7,6] SIGMA[7,7] 
 1.0004610  1.0003133  1.0004395  0.9999113  1.0000578  1.0004701  1.0007662 
      lp__ 
 1.0020066 
